UserID,Phase,Group,Send2%,Challenge%,ActualSend2,ActualChallenge,SendPayout,ChallengePayouy
20,1,Diff,69,28,55.61,100.0,7.08,0.0
21,1,Unk,91,38,50.16,100.0,0.0,0.0
21,1,Same,3,21,44.44,100.0,0.0,0.0
21,1,Diff,84,37,43.18,100.0,0.0,0.0
22,1,Unk,96,18,50.95,100.0,0.0,0.0
22,1,Same,87,94,44.44,100.0,0.0,17.41
22,1,Diff,42,79,38.64,100.0,19.19,0.0
23,1,Unk,16,8,51.43,100.0,0.0,0.0
23,1,Same,74,6,44.44,100.0,0.0,0.0
23,1,Diff,94,63,41.67,100.0,0.0,0.0
24,1,Unk,36,88,51.75,100.0,2.15,9.63
24,1,Same,65,73,44.44,100.0,0.0,0.0
24,1,Diff,72,93,44.7,100.0,0.0,16.47
25,1,Unk,41,28,48.57,100.0,15.87,0.0
25,1,Same,96,75,44.44,100.0,0.0,0.0
25,1,Diff,39,92,38.64,100.0,19.99,15.39
26,1,Unk,0,65,51.75,100.0,0.0,0.0
26,1,Same,68,41,44.44,100.0,0.0,0.0
26,1,Diff,41,80,43.18,100.0,19.66,0.0
27,1,Unk,89,19,51.75,100.0,0.0,0.0
27,1,Same,26,66,44.44,100.0,0.0,0.0
27,1,Diff,45,8,47.73,100.0,19.46,0.0
28,1,Unk,17,35,53.33,100.0,0.0,0.0
28,1,Same,54,81,44.44,100.0,13.43,0.0
28,1,Diff,0,81,47.73,100.0,0.0,0.0
29,1,Unk,94,2,51.43,100.0,0.0,0.0
29,1,Same,6,40,44.44,100.0,0.0,0.0
29,1,Diff,1,50,41.67,100.0,0.0,0.0
30,1,Unk,49,76,52.14,96.43,19.29,0.0
30,1,Same,39,54,44.44,100.0,17.87,0.0
30,1,Diff,23,89,38.64,92.73,2.4,19.0
31,1,Unk,43,89,58.25,96.43,3.25,16.03
31,1,Same,4,9,54.33,100.0,0.0,0.0
31,1,Diff,69,56,39.39,92.73,0.0,0.0
32,1,Unk,75,95,57.46,96.43,0.0,19.85
32,1,Same,93,35,54.33,100.0,0.0,0.0
32,1,Diff,38,92,43.94,92.73,17.46,19.96
33,1,Unk,37,71,59.05,96.43,0.0,0.0
33,1,Same,46,87,54.33,100.0,15.0,7.83
33,1,Diff,83,83,43.94,92.73,0.0,13.19
34,1,Unk,89,25,60.63,96.43,0.0,0.0
34,1,Same,55,75,54.33,100.0,19.97,0.0
34,1,Diff,12,34,39.39,92.73,0.0,0.0
35,1,Unk,89,28,60.63,96.43,0.0,0.0
35,1,Same,81,43,54.33,100.0,0.0,0.0
35,1,Diff,1,19,45.45,92.73,0.0,0.0
36,1,Unk,45,44,58.25,96.43,7.35,0.0
36,1,Same,53,42,54.33,100.0,19.87,0.0
36,1,Diff,82,77,45.45,92.73,0.0,2.19
37,1,Unk,17,13,57.06,96.43,0.0,0.0
37,1,Same,91,66,54.33,100.0,0.0,0.0
37,1,Diff,36,30,43.94,92.73,15.46,0.0
38,1,Unk,53,19,58.25,96.43,18.01,0.0
38,1,Same,47,51,54.33,100.0,16.13,0.0
38,1,Diff,65,46,42.42,92.73,0.0,0.0
39,1,Unk,30,85,59.68,96.43,0.0,10.6
39,1,Same,69,71,54.33,100.0,4.51,0.0
39,1,Diff,61,12,46.21,92.73,4.25,0.0
40,1,Unk,28,75,57.06,96.43,0.0,0.0
40,1,Same,32,27,54.33,100.0,0.0,0.0
40,1,Diff,34,95,42.42,92.73,14.89,19.63
1,3,Unk,17,0,40.48,100.0,0.0,0.0
1,3,Same,75,0,50.83,100.0,0.0,0.0
1,3,Diff,71,13,65.61,100.0,17.91,0.0
2,3,Unk,62,36,39.68,96.43,0.0,0.0
2,3,Same,42,57,44.17,95.0,19.66,0.0
2,3,Diff,34,89,64.09,100.0,0.0,11.29
3,3,Unk,51,98,34.92,96.43,1.38,19.82
3,3,Same,23,44,51.5,95.0,0.0,0.0
3,3,Diff,91,67,61.82,100.0,0.0,0.0
4,3,Unk,89,12,38.89,96.43,0.0,0.0
4,3,Same,60,78,50.83,95.0,13.95,0.0
4,3,Diff,80,84,59.55,100.0,0.0,1.57
5,3,Unk,30,98,43.65,96.43,6.58,19.82
5,3,Same,84,56,54.17,95.0,0.0,0.0
5,3,Diff,35,57,61.82,100.0,0.0,0.0
6,3,Unk,75,63,42.06,96.43,0.0,0.0
6,3,Same,11,68,56.83,95.0,0.0,0.0
6,3,Diff,32,83,68.64,100.0,0.0,0.0
7,3,Unk,71,90,42.86,96.43,0.0,17.02
7,3,Same,67,53,47.5,95.0,0.0,0.0
7,3,Diff,26,19,68.64,100.0,0.0,0.0
8,3,Unk,66,69,45.71,96.43,0.0,0.0
8,3,Same,38,94,49.17,95.0,11.02,19.93
8,3,Diff,88,65,59.55,100.0,0.0,0.0
9,3,Unk,48,5,46.43,96.43,19.82,0.0
9,3,Same,21,60,55.83,95.0,0.0,0.0
9,3,Diff,73,18,65.0,100.0,15.39,0.0
10,3,Unk,4,22,43.65,96.43,0.0,0.0
10,3,Same,22,33,50.83,95.0,0.0,0.0
10,3,Diff,54,79,59.55,100.0,17.79,0.0
11,3,Unk,30,61,56.75,100.0,0.0,0.0
11,3,Same,97,59,54.17,100.0,0.0,0.0
11,3,Diff,55,56,47.88,100.0,16.35,0.0
12,3,Unk,51,89,57.54,96.43,16.92,16.03
12,3,Same,94,99,54.17,95.0,0.0,18.85
12,3,Diff,41,36,47.88,100.0,16.59,0.0
13,3,Unk,93,59,59.52,100.0,0.0,0.0
13,3,Same,36,83,60.83,100.0,0.0,0.0
13,3,Diff,65,80,42.42,100.0,0.0,0.0
14,3,Unk,51,56,59.52,100.0,14.77,0.0
14,3,Same,36,17,53.5,100.0,0.0,0.0
14,3,Diff,62,35,44.85,100.0,0.0,0.0
15,3,Unk,35,43,61.9,100.0,0.0,0.0
15,3,Same,40,2,54.17,100.0,5.55,0.0
15,3,Diff,11,97,44.85,100.0,0.0,19.35
16,3,Unk,77,88,58.41,100.0,0.0,9.63
16,3,Same,78,61,50.83,100.0,0.0,0.0
16,3,Diff,87,5,38.79,100.0,0.0,0.0
17,3,Unk,77,87,55.16,100.0,0.0,7.83
17,3,Same,49,62,48.17,100.0,19.95,0.0
17,3,Diff,45,59,45.61,100.0,19.97,0.0
18,3,Unk,24,99,58.33,100.0,0.0,19.93
18,3,Same,99,82,57.5,100.0,0.0,0.0
18,3,Diff,90,23,42.42,100.0,0.0,0.0
19,3,Unk,85,77,58.25,100.0,0.0,0.0
19,3,Same,81,6,55.83,100.0,0.0,0.0
19,3,Diff,18,63,44.85,100.0,0.0,0.0
20,3,Unk,40,22,51.59,100.0,10.33,0.0
20,3,Same,94,48,49.17,100.0,0.0,0.0
20,3,Diff,73,35,47.88,100.0,0.0,0.0
21,3,Unk,62,51,36.9,96.43,0.0,0.0
21,3,Same,67,36,40.67,100.0,0.0,0.0
21,3,Diff,80,31,49.39,90.91,0.0,0.0
22,3,Unk,54,22,39.68,96.43,5.24,0.0
22,3,Same,69,74,45.67,100.0,0.0,0.0
22,3,Diff,81,62,44.85,90.91,0.0,0.0
23,3,Unk,11,94,42.86,96.43,0.0,19.58
23,3,Same,69,70,42.33,100.0,0.0,0.0
23,3,Diff,17,20,47.12,90.91,0.0,0.0
24,3,Unk,38,53,38.89,96.43,19.94,0.0
24,3,Same,86,23,47.33,100.0,0.0,0.0
24,3,Diff,74,59,46.36,90.91,0.0,0.0
25,3,Unk,12,73,41.98,96.43,0.0,0.0
25,3,Same,1,30,43.33,100.0,0.0,0.0
25,3,Diff,76,0,40.3,90.91,0.0,0.0
26,3,Unk,99,84,44.05,96.43,0.0,8.88
26,3,Same,35,77,45.67,100.0,11.81,0.0
26,3,Diff,78,27,43.33,90.91,0.0,0.0
27,3,Unk,28,28,43.25,96.43,3.25,0.0
27,3,Same,28,46,36.5,100.0,15.95,0.0
27,3,Diff,85,42,47.12,90.91,0.0,0.0
28,3,Unk,37,28,42.86,96.43,17.53,0.0
28,3,Same,75,13,45.67,100.0,0.0,0.0
28,3,Diff,93,17,49.39,90.91,0.0,0.0
29,3,Unk,21,39,45.24,96.43,0.0,0.0
29,3,Same,99,27,39.83,100.0,0.0,0.0
29,3,Diff,38,48,40.3,90.91,19.62,0.0
30,3,Unk,42,88,42.46,96.43,19.98,14.89
30,3,Same,76,79,39.67,100.0,0.0,0.0
30,3,Diff,16,78,49.39,90.91,0.0,8.0
31,3,Unk,17,93,55.95,100.0,0.0,16.47
31,3,Same,6,54,61.67,100.0,0.0,0.0
31,3,Diff,72,85,60.61,100.0,10.65,3.8
32,3,Unk,27,13,60.71,100.0,0.0,0.0
32,3,Same,92,3,60.67,100.0,0.0,0.0
32,3,Diff,41,67,54.55,100.0,6.79,0.0
33,3,Unk,42,36,59.52,100.0,0.0,0.0
33,3,Same,31,60,55.67,100.0,0.0,0.0
33,3,Diff,19,96,60.0,100.0,0.0,18.85
34,3,Unk,69,32,53.97,100.0,3.73,0.0
34,3,Same,97,74,59.0,100.0,0.0,0.0
34,3,Diff,60,31,59.09,100.0,19.94,0.0
35,3,Unk,42,37,57.94,100.0,1.71,0.0
35,3,Same,33,98,54.0,100.0,0.0,19.71
35,3,Diff,42,43,54.55,100.0,8.67,0.0
36,3,Unk,82,76,59.21,100.0,0.0,0.0
36,3,Same,66,71,58.0,100.0,15.39,0.0
36,3,Diff,63,96,63.64,100.0,19.97,18.85
37,3,Unk,23,94,54.68,100.0,0.0,17.41
37,3,Same,66,19,55.67,100.0,12.31,0.0
37,3,Diff,46,59,54.55,100.0,14.74,0.0
38,3,Unk,26,31,55.95,100.0,0.0,0.0
38,3,Same,60,89,64.83,100.0,18.32,11.29
38,3,Diff,4,16,59.09,100.0,0.0,0.0
39,3,Unk,88,22,57.94,100.0,0.0,0.0
39,3,Same,83,2,55.67,100.0,0.0,0.0
39,3,Diff,18,7,60.61,100.0,0.0,0.0
40,3,Unk,57,28,53.97,96.43,18.83,0.0
40,3,Same,98,56,61.5,100.0,0.0,0.0
40,3,Diff,87,46,59.09,90.91,0.0,0.0
